epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,190.541,0.63448,0.73588,0.29809,0.37229,0.9429,0.5785,0.57895,0.41689,0.18889,0.86682,0.86842,0.78933,0.47214,2.28976,3.26291,0.26564,1.45806,3.12601,0.0013004,0.0013004,0.0013004
55,193.727,0.64679,0.68072,0.27064,0.37778,0.96369,0.60486,0.60526,0.44907,0.17068,0.86703,0.86842,0.75911,0.46999,2.33958,3.24959,0.23411,1.62047,3.11755,0.0012872,0.0012872,0.0012872
56,196.81,0.64558,0.66745,0.26852,0.37749,0.95647,0.63114,0.63158,0.50477,0.17829,0.84101,0.84211,0.74454,0.44311,2.34376,3.26921,0.23654,1.4154,3.30991,0.001274,0.001274,0.001274
57,199.757,0.65138,0.73177,0.30634,0.37715,0.97392,0.65721,0.65789,0.46212,0.15656,0.84113,0.84211,0.73081,0.39761,2.33629,3.70485,0.22993,1.53837,3.14846,0.0012608,0.0012608,0.0012608
58,202.683,0.59454,0.71665,0.29261,0.35666,0.92246,0.68348,0.68421,0.52633,0.18424,0.84079,0.84211,0.73114,0.44082,2.51931,3.45783,0.25336,1.67172,3.13725,0.0012476,0.0012476,0.0012476
59,205.653,0.59551,0.60975,0.27132,0.35996,0.95115,0.65686,0.65789,0.48165,0.1738,0.81451,0.81579,0.71087,0.41874,2.38636,3.60177,0.25027,1.43319,3.14032,0.0012344,0.0012344,0.0012344
60,208.744,0.58607,0.58437,0.27752,0.34975,0.93808,0.65688,0.65789,0.44242,0.15079,0.86708,0.86842,0.75118,0.40608,2.42756,3.5934,0.25194,1.55189,3.20592,0.0012212,0.0012212,0.0012212
61,211.892,0.5823,0.52529,0.2714,0.35828,0.94662,0.63064,0.63158,0.41417,0.1476,0.84085,0.84211,0.74317,0.44008,2.388,3.2759,0.23609,1.56081,3.1224,0.001208,0.001208,0.001208
62,214.838,0.55652,0.67919,0.27809,0.36029,0.94498,0.65689,0.65789,0.47179,0.16961,0.84082,0.84211,0.7603,0.40754,2.34752,3.49434,0.25436,1.6032,3.12438,0.0011948,0.0011948,0.0011948
63,217.794,0.55499,0.64363,0.25568,0.34108,0.92722,0.68317,0.68421,0.48245,0.16715,0.8671,0.86842,0.75118,0.40489,2.35129,3.62904,0.25782,1.69299,3.10587,0.0011816,0.0011816,0.0011816
64,220.813,0.52441,0.52844,0.27756,0.33554,0.92182,0.60461,0.60526,0.40198,0.1518,0.81462,0.81579,0.70312,0.4361,2.30907,3.48317,0.28496,1.59382,3.03958,0.0011684,0.0011684,0.0011684
65,223.768,0.51853,0.5482,0.24899,0.33953,0.92705,0.63092,0.63158,0.48025,0.18645,0.78822,0.78947,0.64973,0.41504,2.42538,3.57746,0.33779,1.67814,3.25975,0.0011552,0.0011552,0.0011552
66,226.698,0.56443,0.62912,0.26794,0.35745,0.9158,0.65719,0.65789,0.47548,0.16815,0.84121,0.84211,0.75636,0.44269,2.33561,3.42082,0.25171,1.77302,3.13683,0.001142,0.001142,0.001142
67,229.716,0.54636,0.55441,0.27079,0.33656,0.93158,0.60432,0.60526,0.38329,0.15906,0.86706,0.86842,0.765,0.42016,2.284,3.84461,0.24613,1.9584,2.99892,0.0011288,0.0011288,0.0011288
68,232.657,0.54429,0.54019,0.24888,0.33613,0.92683,0.65702,0.65789,0.46658,0.16539,0.81446,0.81579,0.69673,0.4137,2.36536,3.9091,0.26057,1.70846,3.22398,0.0011156,0.0011156,0.0011156
69,235.619,0.56436,0.53812,0.26202,0.33799,0.92968,0.68307,0.68421,0.4988,0.1566,0.84073,0.84211,0.72135,0.43121,2.36979,4.01352,0.2623,1.85769,3.04039,0.0011024,0.0011024,0.0011024
70,238.562,0.55378,0.57598,0.25329,0.35416,0.92564,0.65685,0.65789,0.43947,0.14733,0.89331,0.89474,0.80342,0.43776,2.49115,4.17396,0.27239,2.04117,3.13107,0.0010892,0.0010892,0.0010892
